Age,Sex,Weight  in lbs,Height in Inch,IQ,Units of alcohol per day,Cigarettes per day,Marital Status,Additional People in household,Salary,Active,Health Score (high is good)
22,Female,135,61,94,2,17,Divorced,2,24894,Inactive,175
27,Female,126,64,106,2,0,Widowed,0,54618,Inactive,190
46,Female,139,69,98,2,0,Divorced,0,54155,Active,199
64,Female,146,67,88,1,16,Married,1,54865,Inactive,95
24,Female,119,67,101,0,0,Married,2,24852,Inactive,281
73,Female,117,62,103,2,35,Widowed,2,25002,Inactive,60
74,Female,114,66,104,0,0,Divorced,2,24913,Inactive,130
63,Female,132,69,105,1,0,Divorced,3,56914,Inactive,95
65,Female,121,68,99,0,0,Cohabiting,1,55466,Active,192
29,Male,154,74,101,0,0,Widowed,0,56308,Active,226
31,Female,114,65,101,0,35,Married,4,54749,Inactive,141
27,Female,113,67,100,0,13,Widowed,3,54347,Active,243
24,Female,114,66,107,2,0,Married,1,24923,Inactive,216
44,Male,167,76,104,1,0,Single,2,55653,Inactive,146
30,Female,141,63,90,1,0,Widowed,1,56203,Very Active,316
65,Male,158,71,103,0,27,Widowed,1,54358,Active,96
25,Female,114,67,90,0,0,Married,3,57004,Active,373
41,Male,160,70,109,0,0,Married,3,55168,Inactive,141
74,Male,167,80,93,0,0,Single,3,25132,Active,119
28,Male,147,76,100,2,0,Married,3,53609,Active,223
65,Female,135,62,96,0,0,Single,3,55975,Active,156
75,Female,114,68,100,1,0,Married,4,24965,Active,170
40,Female,105,60,101,0,0,Married,1,53996,Very Active,298
44,Female,118,70,111,0,0,Divorced,2,55216,Active,230
48,Male,178,77,113,1,23,Married,2,56415,Active,114
66,Female,136,59,94,1,0,Married,4,25010,Inactive,105
79,Female,159,67,101,2,0,Married,4,25143,Very Active,167
73,Male,164,68,101,0,37,Widowed,1,25146,Active,82
24,Female,148,70,103,0,0,Cohabiting,3,24934,Very Active,398
21,Female,139,64,101,2,0,Married,2,24796,Active,327
64,Male,161,72,101,0,0,Married,2,53345,Inactive,105
24,Female,118,67,111,2,0,Married,3,24953,Inactive,172
78,Female,103,62,104,0,34,Divorced,2,25056,Active,122
68,Female,117,66,92,1,10,Cohabiting,3,25064,Active,162
36,Female,124,63,104,0,0,Married,4,53437,Active,276
34,Male,165,70,99,0,0,Married,2,56946,Very Active,225
58,Male,172,74,106,0,15,Married,3,56329,Inactive,105
49,Male,166,74,82,1,0,Widowed,1,55836,Inactive,121
37,Female,136,64,101,0,5,Married,1,54774,Very Active,275
37,Female,107,70,93,1,12,Married,1,53308,Inactive,121
31,Male,177,73,94,4,0,Married,3,56424,Active,156
20,Female,117,64,91,0,0,Single,2,24953,Inactive,250
45,Male,191,69,97,2,0,Widowed,1,56289,Very Active,160
25,Female,130,65,102,0,10,Cohabiting,1,53272,Inactive,141
50,Female,138,70,105,1,0,Cohabiting,2,57177,Active,195
59,Female,128,67,102,1,5,Widowed,3,54826,Inactive,93
29,Female,99,64,94,1,0,Married,2,54392,Active,292
54,Male,162,76,97,0,0,Single,0,56757,Active,163
43,Female,112,59,103,1,0,Cohabiting,1,55332,Active,207
71,Female,112,68,104,1,0,Cohabiting,1,24937,Very Active,200
57,Male,161,70,96,2,0,Divorced,2,54455,Active,136
48,Female,113,63,104,2,0,Cohabiting,1,55738,Very Active,250
60,Female,149,66,104,2,13,Married,4,53892,Inactive,119
42,Female,116,62,108,0,0,Married,4,54635,Active,221
63,Female,142,66,98,0,0,Married,1,56115,Inactive,116
56,Male,170,70,109,1,0,Married,3,55929,Active,130
37,Female,132,70,109,0,0,Single,3,54329,Inactive,215
61,Female,107,66,92,1,29,Widowed,2,55181,Inactive,92
32,Female,116,68,99,0,0,Cohabiting,2,52942,Inactive,242
35,Male,166,73,94,1,0,Single,3,54545,Inactive,131
37,Female,120,63,112,2,0,Married,1,54703,Inactive,129
46,Female,119,67,96,0,0,Divorced,3,55004,Active,248
25,Female,116,69,92,0,0,Married,3,53979,Inactive,285
50,Female,116,68,96,3,0,Married,2,55055,Inactive,136
71,Female,151,71,103,2,0,Married,2,25026,Very Active,187
69,Female,159,70,100,1,0,Single,3,24863,Inactive,107
50,Female,116,65,94,1,0,Single,1,57242,Inactive,140
31,Female,139,69,105,0,24,Married,3,56011,Inactive,132
58,Female,130,61,96,1,0,Divorced,0,54845,Inactive,142
65,Male,156,73,95,2,0,Married,2,55845,Very Active,139
26,Female,110,65,104,0,0,Widowed,0,53735,Inactive,271
32,Male,167,72,95,1,0,Married,4,54519,Active,205
23,Female,129,61,89,2,0,Married,1,24931,Inactive,234
25,Female,141,71,97,0,0,Divorced,1,55069,Active,358
63,Female,152,65,101,3,0,Married,3,52173,Inactive,106
53,Female,116,68,96,0,0,Widowed,3,55534,Inactive,170
60,Male,166,74,103,1,0,Married,2,54402,Active,141
51,Male,186,68,101,1,0,Married,3,52910,Active,132
20,Male,158,79,92,2,0,Married,3,24996,Inactive,175
79,Female,104,64,105,0,6,Single,0,25030,Active,156
42,Male,173,75,110,1,0,Married,1,56432,Very Active,192
64,Female,147,67,101,1,33,Cohabiting,4,53914,Very Active,148
22,Male,191,70,98,5,0,Married,1,24847,Very Active,187
48,Female,119,69,100,1,37,Married,3,55394,Inactive,96
78,Male,171,77,100,0,0,Married,1,25138,Inactive,102
50,Male,170,74,98,0,0,Divorced,2,56619,Inactive,125
65,Female,104,66,97,4,0,Married,2,54988,Very Active,200
74,Female,130,65,99,0,0,Married,3,24910,Inactive,84
62,Male,150,72,96,3,20,Divorced,0,55764,Active,105
56,Female,119,60,100,1,0,Cohabiting,3,56218,Very Active,222
70,Female,140,62,95,5,0,Cohabiting,2,24905,Active,133
78,Male,181,74,107,3,0,Cohabiting,1,24970,Active,106
55,Female,125,61,108,1,0,Cohabiting,2,54123,Active,198
58,Female,130,66,94,0,0,Married,4,55930,Inactive,127
45,Female,105,65,101,1,0,Divorced,0,53799,Active,248
59,Female,112,65,101,0,0,Cohabiting,2,54663,Inactive,103
58,Male,170,74,98,1,0,Widowed,0,55063,Active,131
45,Female,129,64,104,1,0,Single,3,54320,Inactive,174
40,Female,139,71,115,0,0,Married,2,53698,Active,236
26,Male,149,75,94,1,0,Divorced,0,55853,Active,226
51,Male,168,75,103,1,0,Married,1,54823,Inactive,132
78,Female,126,62,105,1,0,Widowed,0,24962,Inactive,116
73,Male,168,74,98,0,0,Married,2,24893,Inactive,106
24,Female,127,71,100,1,0,Widowed,3,25058,Very Active,412
30,Male,173,76,107,0,0,Widowed,0,55793,Active,235
78,Female,87,66,91,2,0,Widowed,0,25196,Active,146
28,Female,138,63,96,0,0,Married,3,55102,Active,305
23,Female,125,65,108,1,0,Married,3,24937,Inactive,262
61,Female,111,61,104,2,0,Cohabiting,3,56340,Active,186
41,Male,161,73,97,1,0,Widowed,3,54998,Very Active,196
72,Male,146,77,102,2,0,Married,3,24952,Active,113
21,Male,150,72,95,2,0,Single,2,24959,Active,223
47,Female,149,60,98,1,0,Married,3,55872,Inactive,102
49,Male,208,66,100,2,0,Single,2,54926,Very Active,144
22,Female,119,60,100,0,15,Divorced,2,25064,Active,232
42,Female,157,63,112,1,0,Divorced,0,54047,Inactive,167
66,Male,163,74,107,2,0,Divorced,3,24995,Inactive,84
77,Female,128,68,92,1,0,Widowed,1,24916,Inactive,102
52,Female,130,60,101,4,0,Married,2,55227,Active,187
36,Female,136,64,103,1,0,Married,2,56556,Active,261
77,Male,167,72,94,0,0,Single,1,24950,Inactive,80
63,Male,150,74,105,1,0,Single,0,55533,Inactive,116
59,Male,172,73,99,0,0,Widowed,0,54617,Inactive,122
52,Female,107,69,88,1,31,Cohabiting,2,56626,Active,159
54,Female,106,69,101,1,0,Cohabiting,2,55756,Inactive,112
74,Male,151,74,105,0,0,Widowed,2,24971,Active,128
53,Female,123,64,108,2,0,Married,2,55140,Very Active,230
72,Female,124,69,97,1,0,Married,2,24945,Active,173
68,Female,133,64,95,0,0,Cohabiting,4,25053,Very Active,198
80,Male,143,72,96,1,0,Cohabiting,3,24979,Inactive,97
48,Female,116,62,98,1,0,Married,1,54167,Very Active,253
19,Male,170,70,101,0,34,Married,3,24949,Active,155
60,Female,122,67,100,0,37,Widowed,3,55304,Very Active,155
24,Male,168,70,99,2,10,Divorced,3,25065,Active,166
55,Female,118,67,98,1,0,Widowed,1,54140,Very Active,238
70,Female,108,68,102,0,0,Married,4,25060,Active,162
24,Female,104,67,99,0,4,Married,4,24828,Inactive,226
64,Female,112,67,104,1,0,Married,1,55240,Very Active,215
65,Male,147,72,92,0,0,Married,3,56510,Active,141
80,Female,135,63,100,1,0,Married,3,24900,Inactive,94
72,Male,158,73,109,2,0,Married,2,24880,Inactive,89
26,Female,151,61,94,0,23,Married,2,53466,Active,181
20,Female,131,63,110,1,0,Married,4,25004,Inactive,221
68,Male,186,69,108,1,0,Divorced,2,25078,Active,121
41,Male,156,76,102,2,0,Married,4,55872,Very Active,191
68,Female,114,68,98,1,0,Married,1,24919,Inactive,92
31,Female,159,61,99,0,0,Married,1,57478,Active,262
21,Male,152,66,106,5,20,Cohabiting,1,24994,Active,129
23,Female,127,65,94,0,0,Married,2,24879,Inactive,181
42,Male,171,69,103,0,0,Married,4,55391,Active,164
51,Male,147,70,102,2,0,Married,2,55282,Active,150
28,Male,159,74,97,2,0,Divorced,0,54807,Active,213
61,Female,153,67,99,2,0,Married,3,53717,Inactive,112
49,Female,109,66,102,1,0,Cohabiting,2,53864,Inactive,175
35,Female,124,69,106,1,0,Widowed,3,55741,Inactive,145
44,Male,145,73,102,1,0,Widowed,1,56161,Very Active,194
29,Female,130,63,101,1,21,Married,2,54897,Very Active,240
55,Female,106,65,97,0,0,Married,1,53486,Active,193
54,Male,150,75,100,0,38,Cohabiting,2,52728,Active,99
38,Male,157,66,91,0,8,Widowed,1,55725,Active,168
33,Female,109,70,111,2,0,Widowed,1,55322,Active,304
36,Male,188,74,103,3,14,Married,1,56225,Inactive,116
45,Male,171,70,88,1,0,Cohabiting,3,54582,Inactive,122
39,Female,139,64,113,1,0,Single,2,54551,Inactive,123
67,Female,149,70,103,3,5,Single,0,25047,Inactive,101
53,Female,139,64,99,0,0,Cohabiting,4,55013,Inactive,104
51,Female,132,66,109,1,0,Married,3,54203,Active,215
48,Female,133,64,110,3,0,Married,1,54430,Inactive,104
47,Female,113,68,98,3,0,Cohabiting,1,56315,Active,199
56,Female,124,65,88,1,0,Widowed,1,55538,Inactive,127
31,Female,131,68,101,1,34,Married,1,53282,Active,161
80,Female,115,65,98,1,0,Cohabiting,4,25070,Active,158
74,Male,164,76,100,1,35,Married,1,24897,Inactive,60
59,Male,162,71,105,1,0,Married,3,56489,Inactive,93
45,Male,150,77,106,2,0,Married,2,55058,Inactive,127
32,Female,134,63,95,3,0,Married,4,57069,Active,227
42,Female,130,65,93,1,0,Married,1,53558,Inactive,183
60,Female,152,71,105,1,0,Married,1,54765,Inactive,144
74,Female,141,65,105,1,0,Widowed,3,24938,Inactive,101
39,Male,173,71,107,0,0,Married,4,53396,Inactive,158
66,Male,155,77,92,0,0,Married,2,25178,Active,142
39,Female,127,69,105,0,0,Married,2,55872,Active,277
68,Female,124,65,95,0,35,Married,3,24902,Active,129
55,Female,101,71,98,0,38,Married,2,54821,Very Active,168
44,Female,112,65,99,0,0,Married,4,56552,Very Active,287
35,Male,172,72,111,0,0,Married,3,54511,Inactive,171
52,Male,187,75,91,1,0,Cohabiting,2,56046,Active,139
38,Female,115,65,106,0,0,Married,1,54876,Inactive,175
47,Female,126,62,94,1,0,Divorced,0,56871,Inactive,111
18,Female,145,65,103,0,0,Widowed,1,25021,Active,332
45,Female,133,62,110,0,11,Married,2,57330,Very Active,224
69,Male,167,72,99,1,4,Cohabiting,3,25068,Inactive,80
35,Male,145,74,93,1,0,Married,4,53531,Inactive,139
75,Female,149,66,103,0,0,Cohabiting,1,24950,Inactive,121
65,Female,136,67,98,2,32,Divorced,2,53294,Inactive,98
77,Female,108,61,100,2,0,Married,3,25176,Inactive,118
71,Female,129,64,96,0,0,Widowed,0,24914,Active,150
43,Female,121,72,94,0,0,Married,1,51477,Active,269
62,Male,178,73,98,1,0,Single,1,56536,Inactive,112
36,Female,109,66,103,0,1,Married,4,54523,Inactive,147
77,Female,116,68,100,1,0,Widowed,1,25016,Active,166
57,Female,140,65,99,1,4,Single,3,53490,Active,185
74,Female,141,63,110,1,0,Widowed,3,25081,Very Active,178
41,Male,176,72,111,4,0,Divorced,0,56849,Inactive,99
63,Male,186,77,96,3,0,Divorced,1,54281,Inactive,82
37,Male,170,70,103,0,0,Widowed,1,54356,Inactive,147
35,Male,162,75,97,0,0,Single,2,56841,Active,199
19,Female,121,69,84,1,0,Divorced,0,24933,Active,360
27,Male,144,75,95,1,0,Married,3,56825,Active,224
26,Female,117,71,107,3,0,Married,1,52527,Inactive,166
49,Female,145,69,113,2,0,Married,3,54755,Inactive,108
75,Male,181,73,101,2,0,Married,2,24973,Inactive,84
36,Male,165,72,96,0,0,Married,4,54793,Active,188
45,Female,121,64,107,0,0,Married,3,56880,Very Active,274
73,Female,120,71,95,0,0,Married,2,25096,Active,156
30,Female,166,64,101,0,0,Married,4,56418,Inactive,171
28,Female,129,64,98,4,0,Divorced,1,53955,Inactive,138
44,Female,117,71,98,0,0,Cohabiting,3,55264,Inactive,166
55,Female,105,65,102,0,0,Single,1,54797,Inactive,110
69,Male,172,75,104,0,0,Single,1,24869,Inactive,110
35,Female,110,65,93,2,0,Cohabiting,1,56425,Active,244
45,Male,164,74,109,1,0,Widowed,1,55399,Inactive,143
28,Male,193,74,104,1,13,Single,1,55381,Active,172
63,Female,132,67,96,1,0,Cohabiting,3,55897,Inactive,117
59,Female,118,69,96,1,0,Married,1,56794,Active,204
53,Female,113,64,93,0,0,Cohabiting,1,56126,Inactive,111
52,Female,134,57,101,1,0,Married,2,56101,Inactive,145
34,Female,119,68,101,2,0,Married,3,55352,Very Active,321
75,Male,162,74,113,0,7,Married,3,24889,Inactive,97
57,Female,118,65,99,2,0,Divorced,3,55932,Inactive,149
71,Female,113,68,108,1,0,Married,4,25197,Active,155
33,Female,137,65,90,4,0,Single,2,55862,Active,219
18,Male,180,69,95,2,0,Married,2,24856,Active,228
21,Male,174,73,94,2,0,Married,3,25082,Active,212
44,Male,162,68,101,0,0,Married,1,53597,Active,160
32,Female,121,65,99,3,0,Married,2,52913,Active,241
37,Male,185,76,93,0,0,Married,2,56168,Very Active,218
68,Male,177,71,94,0,0,Married,4,25102,Inactive,86
54,Female,120,64,99,0,0,Single,0,54346,Inactive,107
30,Male,185,72,100,1,26,Single,1,54955,Active,141
20,Female,129,68,103,0,0,Married,2,24822,Inactive,303
23,Male,158,71,97,1,0,Cohabiting,2,25046,Active,245
22,Female,144,65,101,1,10,Cohabiting,1,25003,Inactive,138
63,Female,121,65,96,1,0,Married,3,54224,Active,164
47,Male,155,70,103,1,0,Cohabiting,2,53370,Inactive,123
29,Male,146,76,91,0,0,Widowed,3,53815,Inactive,171
72,Female,97,66,103,0,0,Widowed,0,24899,Active,160
28,Female,130,65,92,0,0,Married,1,54378,Inactive,201
21,Female,124,72,92,1,0,Single,0,24964,Inactive,251
61,Male,186,69,100,0,0,Married,2,56063,Inactive,90
35,Female,110,65,95,2,0,Married,3,54443,Inactive,140
67,Male,185,74,109,2,19,Divorced,1,24878,Inactive,85
39,Female,102,61,107,3,0,Widowed,0,53658,Active,249
31,Female,175,69,95,2,14,Married,2,56131,Inactive,160
56,Female,124,65,98,1,0,Single,1,53975,Active,203
18,Female,124,65,97,3,0,Single,2,25012,Inactive,179
28,Female,122,67,90,0,0,Single,0,55524,Active,297
54,Female,140,67,95,1,0,Married,3,55756,Inactive,128
55,Female,95,65,94,1,0,Widowed,1,55705,Very Active,247
18,Male,175,72,105,3,5,Widowed,1,24987,Inactive,136
42,Male,153,76,98,3,0,Married,4,54600,Inactive,138
76,Female,142,61,102,1,24,Married,1,25045,Inactive,93
39,Male,185,75,90,1,0,Married,4,56419,Active,166
23,Female,107,69,97,0,0,Single,1,25083,Active,412
51,Male,152,72,106,1,25,Divorced,3,53447,Inactive,99
56,Male,152,69,99,0,32,Single,3,56700,Active,100
55,Female,120,64,98,1,0,Divorced,1,56243,Inactive,103
64,Female,117,71,103,0,0,Cohabiting,2,54105,Active,199
70,Male,182,74,103,0,16,Single,1,25122,Inactive,73
32,Female,131,64,89,2,26,Married,2,54255,Active,166
40,Male,187,73,100,0,0,Married,4,54592,Inactive,139
52,Male,171,78,100,3,0,Divorced,2,54250,Very Active,155
37,Female,138,63,99,1,0,Cohabiting,2,53690,Inactive,126
73,Female,114,64,98,2,0,Divorced,1,24921,Active,166
72,Male,180,72,96,1,0,Divorced,3,24876,Active,120
64,Male,164,69,94,1,0,Married,3,56326,Active,130
33,Male,161,74,110,0,0,Single,0,55623,Inactive,186
45,Female,144,68,102,0,0,Cohabiting,2,55828,Active,239
36,Female,125,75,103,0,21,Single,0,55141,Inactive,138
23,Male,151,73,104,1,0,Married,3,25177,Very Active,277
62,Male,198,71,107,0,10,Married,3,55755,Active,120
18,Female,154,70,98,1,0,Single,2,24976,Very Active,428
51,Male,151,70,104,1,0,Widowed,2,57163,Active,157
72,Male,177,75,101,0,0,Single,1,25164,Active,117
26,Female,137,70,102,1,0,Married,3,55188,Very Active,378
52,Female,124,63,102,0,0,Single,2,54782,Inactive,108
64,Female,121,66,93,0,0,Cohabiting,3,56095,Active,192
28,Female,101,63,93,1,0,Married,2,54884,Very Active,376
35,Female,112,69,103,2,0,Married,4,54346,Inactive,216
80,Female,139,68,109,0,0,Single,2,25069,Inactive,99
41,Female,110,65,97,0,0,Married,4,55978,Active,270
27,Female,127,64,101,1,0,Married,2,55406,Active,276
63,Female,155,67,98,1,0,Single,3,55862,Inactive,134
21,Female,113,69,104,4,0,Married,4,25097,Inactive,263
59,Female,144,68,89,1,2,Widowed,2,54496,Active,188
62,Male,159,74,95,2,0,Married,2,55409,Active,122
58,Female,127,62,92,1,0,Single,1,56148,Inactive,144
54,Male,177,71,100,1,0,Married,4,56141,Inactive,121
73,Female,102,64,98,0,0,Single,1,24916,Active,155
41,Male,187,75,106,2,0,Married,4,53654,Active,152
32,Male,154,70,96,0,0,Divorced,1,54182,Very Active,240
49,Female,136,71,103,1,0,Widowed,1,54600,Very Active,257
75,Male,168,68,97,0,0,Married,3,24970,Very Active,129
76,Male,193,71,94,1,12,Single,2,24871,Very Active,109
38,Male,164,72,91,0,0,Widowed,1,54152,Active,199
58,Female,125,65,91,1,0,Married,1,54694,Very Active,223
57,Male,159,73,106,2,0,Widowed,1,54510,Active,128
52,Female,113,60,91,1,0,Cohabiting,1,53580,Inactive,158
61,Female,124,63,96,0,0,Single,3,55942,Inactive,96
18,Male,156,71,106,1,30,Married,2,25032,Inactive,108
61,Female,137,64,88,2,0,Single,2,55993,Inactive,90
63,Female,144,70,104,0,3,Cohabiting,1,52845,Very Active,208
50,Male,187,72,99,1,0,Cohabiting,2,56604,Inactive,113
36,Male,165,72,92,1,0,Married,3,55923,Inactive,128
28,Male,148,64,102,1,0,Divorced,3,54435,Active,192
21,Female,129,64,96,0,0,Married,1,25003,Inactive,232
71,Female,121,65,94,2,0,Widowed,3,24989,Active,147
38,Female,125,68,97,1,0,Married,1,54563,Active,237
52,Male,163,73,103,4,0,Married,1,53531,Inactive,112
19,Female,123,67,93,2,0,Married,3,24909,Active,331
38,Female,125,72,111,1,0,Divorced,2,54851,Inactive,211
49,Female,119,65,102,1,0,Divorced,1,54364,Inactive,113
42,Female,127,72,100,0,20,Married,3,55754,Inactive,101
24,Female,114,70,98,0,0,Married,1,24931,Active,396
57,Female,92,64,106,0,0,Married,3,55228,Inactive,165
62,Male,175,67,105,2,0,Cohabiting,1,56126,Inactive,82
41,Male,166,72,97,1,0,Widowed,1,54313,Active,163
40,Female,128,63,104,1,0,Divorced,1,55469,Active,247
38,Female,113,68,111,0,0,Married,3,55748,Active,254
42,Female,144,63,93,0,0,Married,2,55303,Very Active,267
21,Female,123,69,97,1,0,Widowed,2,24807,Active,340
43,Male,183,72,99,0,0,Divorced,2,56918,Active,177
64,Male,156,69,101,1,0,Married,4,55132,Active,121
72,Male,164,73,103,1,0,Single,2,24873,Inactive,102
69,Female,100,65,83,0,22,Married,1,24866,Inactive,74
60,Female,139,69,96,0,0,Divorced,2,55025,Active,199
66,Female,140,64,94,1,0,Cohabiting,1,24915,Active,152
67,Female,134,59,99,3,0,Married,2,25002,Inactive,100
38,Male,187,71,97,1,25,Widowed,2,56928,Inactive,86
21,Male,205,71,95,3,0,Widowed,2,24959,Inactive,146
78,Male,193,72,93,2,0,Married,1,24998,Active,107
18,Female,117,72,91,1,0,Widowed,0,24907,Inactive,223
33,Male,175,70,104,0,40,Divorced,1,56047,Inactive,82
32,Male,175,67,106,0,0,Single,0,56147,Active,185
31,Male,170,77,101,1,22,Married,3,55041,Inactive,130
35,Female,121,62,99,1,0,Divorced,3,53974,Active,237
49,Female,116,67,104,0,0,Single,3,56247,Active,208
71,Female,116,64,98,1,0,Single,0,24929,Very Active,194
26,Male,148,71,97,1,20,Married,2,54641,Active,156
43,Female,111,62,90,1,0,Married,4,54968,Active,245
71,Female,130,66,99,0,11,Married,2,25163,Active,155
54,Female,121,61,87,1,0,Married,3,54066,Very Active,228
40,Female,116,68,103,0,13,Married,4,56453,Inactive,142
67,Male,156,69,105,3,0,Married,2,25119,Very Active,127
67,Female,122,67,86,0,15,Cohabiting,2,24995,Active,138
66,Female,136,64,100,3,13,Divorced,2,24777,Inactive,111
59,Male,172,76,102,0,0,Single,2,55108,Inactive,113
79,Female,147,69,98,1,0,Married,3,24928,Active,136
31,Male,154,73,103,0,0,Widowed,0,56154,Very Active,253
77,Female,152,71,103,0,0,Single,1,25054,Very Active,183
41,Female,106,69,100,2,0,Widowed,1,55033,Active,231
45,Female,111,65,99,0,0,Divorced,0,54808,Active,221
75,Female,100,69,97,0,0,Divorced,3,25189,Active,178
56,Male,164,72,91,1,0,Married,3,53596,Inactive,109
72,Male,174,67,103,2,0,Married,4,25074,Inactive,93
69,Female,121,65,96,0,0,Cohabiting,3,24924,Inactive,135
66,Female,130,66,100,0,0,Divorced,1,24863,Inactive,115
77,Male,191,74,95,1,0,Married,3,25063,Inactive,95
29,Male,171,71,96,0,0,Single,1,53957,Inactive,151
42,Female,127,62,94,1,0,Married,1,56436,Inactive,178
34,Female,148,66,110,1,0,Widowed,2,54292,Inactive,200
68,Female,142,66,103,1,25,Married,3,24895,Active,119
76,Female,128,67,96,0,0,Married,1,25142,Active,167
35,Female,137,64,101,1,0,Married,3,53850,Inactive,132
56,Female,130,62,101,1,24,Married,2,56900,Inactive,76
43,Female,127,67,92,1,0,Divorced,0,56948,Active,247
75,Female,123,66,101,1,0,Married,2,25075,Active,165
27,Female,131,64,101,1,0,Single,3,57706,Inactive,155
23,Female,129,66,110,0,21,Married,4,24974,Inactive,123
60,Male,174,73,98,1,0,Married,3,57008,Inactive,92
69,Female,119,61,87,0,23,Married,4,25022,Active,122
22,Male,146,70,92,3,0,Widowed,1,25099,Active,200
52,Female,116,65,120,2,0,Widowed,0,54886,Inactive,106
22,Female,110,65,101,3,0,Divorced,2,25022,Very Active,389
45,Male,157,72,101,0,0,Single,1,53473,Very Active,196
71,Female,115,67,99,1,0,Widowed,0,25002,Inactive,110
68,Female,124,67,99,2,0,Divorced,3,24913,Inactive,88
27,Female,157,68,95,0,0,Widowed,0,53971,Inactive,236
38,Male,163,71,102,0,0,Single,2,54832,Active,181
25,Male,154,70,86,1,0,Married,3,54531,Inactive,157
39,Female,109,66,100,0,0,Married,4,55396,Inactive,141
51,Female,165,61,96,1,0,Single,2,55872,Inactive,119
31,Female,123,64,106,0,0,Cohabiting,3,55593,Inactive,230
67,Male,164,73,95,1,0,Married,4,24896,Very Active,140
53,Male,151,75,103,1,0,Widowed,3,55847,Active,145
50,Male,166,73,96,1,0,Married,3,53161,Inactive,119
71,Female,126,70,97,2,0,Divorced,0,24928,Inactive,107
73,Male,163,70,103,1,0,Divorced,0,24965,Very Active,129
53,Male,185,70,104,1,7,Married,1,54469,Active,133
77,Male,181,67,100,1,0,Married,2,25105,Very Active,119
20,Female,117,69,99,0,0,Single,0,24944,Very Active,483
26,Female,115,63,98,0,0,Cohabiting,1,54858,Very Active,388
19,Female,110,69,91,2,0,Single,2,24918,Very Active,459
59,Female,112,73,102,5,0,Single,0,53232,Active,167
25,Male,159,73,107,4,0,Married,4,52256,Very Active,210
21,Female,128,67,101,0,0,Married,3,25034,Inactive,244
67,Female,115,66,104,0,0,Married,4,25055,Inactive,94
38,Female,115,67,102,1,0,Widowed,3,57073,Active,276
18,Female,129,67,103,1,0,Widowed,0,25202,Very Active,448
28,Female,122,64,98,0,0,Widowed,2,53507,Active,327
79,Female,146,63,95,1,0,Married,2,24948,Active,150
74,Female,96,61,96,4,0,Married,3,25106,Inactive,100
41,Male,165,77,97,1,0,Married,1,54312,Active,170
67,Female,139,66,112,1,0,Married,4,24906,Inactive,131
59,Female,142,68,96,2,0,Divorced,0,55168,Active,166
21,Female,117,65,103,0,0,Widowed,0,24939,Active,346
54,Female,117,68,96,0,0,Widowed,2,53938,Very Active,251
63,Male,167,70,95,4,0,Married,1,55326,Active,117
53,Female,108,66,100,2,20,Cohabiting,2,53470,Inactive,127
69,Male,138,72,100,1,0,Divorced,2,25124,Active,131
30,Female,123,67,101,0,0,Married,4,54786,Active,325
69,Female,130,61,102,0,0,Married,1,24948,Inactive,86
40,Female,128,65,107,1,0,Cohabiting,4,55648,Active,221
73,Female,108,67,96,0,0,Married,1,25016,Very Active,200
65,Female,131,68,106,1,0,Married,2,53648,Active,161
55,Female,133,61,101,2,2,Married,4,54058,Inactive,139
59,Female,114,67,103,1,5,Single,0,56200,Inactive,119
37,Male,188,72,110,0,0,Cohabiting,4,56062,Inactive,160
75,Female,137,62,106,1,0,Widowed,2,25204,Very Active,176
31,Female,130,66,100,1,0,Married,3,55249,Inactive,222
31,Male,179,76,98,4,0,Married,4,55184,Active,174
80,Male,159,75,98,1,13,Married,1,25077,Very Active,111
59,Female,136,63,94,1,0,Widowed,1,56165,Inactive,118
44,Female,94,62,92,0,0,Divorced,0,54869,Active,261
43,Male,179,76,98,1,0,Cohabiting,1,56683,Active,160
36,Female,123,66,90,0,0,Married,1,55081,Active,251
21,Female,136,68,98,3,0,Married,4,24931,Active,294
45,Female,84,64,103,1,33,Divorced,2,53522,Inactive,106
31,Male,176,73,106,4,0,Married,1,54790,Active,157
47,Female,124,65,107,1,0,Single,3,55609,Active,201
73,Female,113,69,113,2,0,Married,1,24985,Active,171
71,Female,132,64,108,0,0,Married,1,24881,Inactive,128
74,Female,108,72,94,1,18,Married,2,25110,Inactive,74
44,Female,162,68,91,1,0,Single,2,54840,Inactive,142
31,Female,126,69,107,2,0,Married,3,55930,Active,299
43,Female,121,68,96,2,4,Single,2,55432,Very Active,259
32,Male,166,68,108,1,0,Single,1,55304,Very Active,212
26,Female,120,66,103,2,0,Divorced,3,53422,Very Active,365
68,Male,174,74,97,0,0,Married,2,24996,Very Active,144
27,Male,160,66,100,1,32,Widowed,1,54268,Active,124
80,Female,135,64,100,0,11,Married,1,24839,Inactive,88
69,Female,131,70,98,0,0,Married,4,25071,Inactive,91
52,Female,141,62,106,4,0,Single,3,55886,Inactive,140
39,Female,123,66,103,1,0,Cohabiting,3,55632,Active,263
19,Male,148,70,97,1,0,Married,1,24958,Inactive,203
50,Male,153,71,106,0,0,Divorced,0,58140,Very Active,182
25,Female,146,64,94,1,0,Divorced,0,54583,Inactive,231
32,Male,174,73,100,2,0,Divorced,0,56517,Inactive,159
39,Female,110,67,102,0,0,Divorced,1,56581,Inactive,213
42,Male,135,72,91,0,0,Married,1,57400,Active,199
